country,lockdown_0326,schools_closed
China,Full,26/01/2020
Italy,Full,04/03/2020
United States,Partial,
Spain,Full,12/03/2020
Germany,Full,
Iran,None,NA
France,Full,
South Korea,None,NA
Switzerland,Full,
United Kingdom,Full,
Netherlands,None,
Austria,Full,
Belgium,Full,
Norway,Full,
Sweden,None,
Australia,Partial,
Portugal,Full,
Brazil,None,
Canada,None,
Denmark,Full,
Malaysia,Full,
Turkey,Full,
Czech Republic,Full,
Japan,None,
Israel,Full,
Ireland,Full,
Luxembourg,Full,
Ecuador,Full,
Pakistan,None,
Thailand,None,
Poland,Full,
Chile,None,
Finland,None,
Greece,Full,
Iceland,None,
Indonesia,None,
Saudi Arabia,Partial,
Qatar,None,
Singapore,None,
India,Full,
Russia,None,
Romania,Full,
Slovenia,Full,
Philippines,Full,
Peru,Full,
Bahrain,None,
Estonia,None,
Mexico,None,
Panama,Full,
Egypt,Partial,
